y,x,I0,bg,y_err,x_err,I0_err,bg_err,H_det,error_flag,snr,rmse,n_iter,y_detect,x_detect,frame,loc_idx,trajectory,subproblem_n_traj,subproblem_n_locs
65.70230474992393,90.03476414405816,58.06554516449795,3.2370268831478537,0.30337975282358065,0.30333787330956763,10.299947543008305,0.21205145715367005,0.026043214164130045,0.0,34.848156974705056,1.5323036451689793,10.0,66.0,90.0,1,14,13,1,1
51.50421980501465,85.30490994154036,81.87625823402675,3.1716816105956616,0.22906059935665443,0.22900518989097135,11.022581119652612,0.2270469163738422,0.011132700848072606,0.0,61.73868982573942,1.6423835257160728,10.0,52.0,85.0,1,15,11,0,1
37.51321897625971,93.82542809610823,104.23270123167045,4.096329060173469,0.20830330524376084,0.2082285379976959,12.594077152860258,0.25973145934817315,0.01301575866441012,0.0,138.36339815429355,1.8796788706881082,10.0,38.0,94.0,1,16,8,1,1
35.487515220424,61.84329099480597,54.2719533202417,3.4328303206115587,0.3608689441059334,0.3607284682908063,11.316251308305848,0.23314494504857475,0.07618294764427459,0.0,33.208151001163124,1.6863510270451039,10.0,36.0,62.0,1,17,7,0,1
34.685879707356044,79.30503345281143,107.70447410403084,2.9375444283927656,0.22552568638038278,0.22552430934302273,13.987657843555493,0.28882141140686585,0.027320743667160155,0.0,108.60493291639287,2.0910326876087915,10.0,35.0,79.0,1,18,12,0,1
21.762938441518436,28.880374123550915,133.62734462666947,2.6573021255372646,0.17698566977098507,0.17697498379904922,13.618241242540751,0.2810961288537237,0.00929258509712945,0.0,260.74488675605113,2.03396141940638,10.0,22.0,29.0,1,19,40,2,1
24.49241840532373,27.715445227024198,128.77448176497538,2.28614856191553,0.16840716893846608,0.16835307268532296,12.56522822779323,0.2591317745371307,0.005512287467776189,0.0,318.8774414106399,1.8757184468907409,10.0,25.0,28.0,2,20,40,1,1
35.05024703977856,76.77622025893459,57.19670350700571,3.704077098179957,0.36954995128396734,0.3695727956508466,12.528254250908583,0.25835518505193283,0.1261693766411937,0.0,20.446650472037188,1.868349283292181,10.0,35.0,77.0,2,21,14,3,3
46.21319413240891,80.67813648692523,93.57077037629864,2.927945082455168,0.2247205069293642,0.22474176119719003,12.116451756734005,0.2497819253292531,0.015087589902175258,0.0,81.2405484217886,1.8065729547734564,10.0,46.0,81.0,2,22,15,3,3
54.07093181341957,92.1165924946238,72.13114789663565,3.028722961032145,0.2699167525818662,0.2699204446739856,11.313822089476893,0.23308994775537434,0.023804201974565908,0.0,60.60883275763936,1.6845953840573162,10.0,54.0,92.0,2,23,16,3,3
76.57228154894362,35.747026730763515,116.2358457279718,2.2480357657277157,0.18663019030543165,0.18659268563238862,12.54002961025057,0.25860468716010215,0.008244185038711533,0.0,224.00108288058883,1.871325904312138,10.0,77.0,36.0,2,24,18,1,1
104.56129840579074,53.56712646537768,155.31612047939714,2.2472091138931876,0.16610725408510035,0.16610516486318158,14.844362606536546,0.3067669597858822,0.01023656106835778,0.0,202.98348497620788,2.223303970277876,10.0,105.0,54.0,2,25,21,1,1
